# Copyright (c) 1966-2016 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2016-10-01
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	Mim Number	Gene Symbols	Gene Name	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr5	140401813	140539855	5q31.3		610500	ANKHD1, MASK, KIAA1085, VBARP	Ankyrin repeat and KH domain-containing protein 1	ANKHD1	54882	ENSG00000131503			Ankhd1 (MGI:1921733)
chr5	140550066	140558092	5q31.3		603819	SRA1	Steroid receptor RNA activator 1	SRA1	10011	ENSG00000213523			Sra1 (MGI:1344414)
chr5	140558267	140564603	5q31.3		602711	APBB3, FE65L2	Amyloid beta (A4) precursor protein-binding, family B, member 3	APBB3	10307	ENSG00000113108			Apbb3 (MGI:108404)
chr5	140631727	140633700	5q31.3		158120	CD14	CD14 antigen	CD14	929	ENSG00000170458			Cd14 (MGI:88318)
chr5	140645362	140647784	5q31.3		602137	NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2 (8kD, B8)	NDUFA2	4695	ENSG00000131495		Leigh syndrome due to mitochondrial complex I deficiency, 256000 (3), Autosomal recessive, Mitochondrial	Ndufa2 (MGI:1343103)
chr5	140647798	140662479	5q31.3		600549	IK, RED	IK cytokine, downregulator of HLA II	IK	3550	ENSG00000113141			Ik (MGI:1345142)
chr5	140670795	140673585	5q31.3		609385	DND1	Dead end, zebrafish, homolog of, 1	DND1	373863	ENSG00000256453			Dnd1 (MGI:2447763)
chr5	140673903	140691726	5q31.3		142810	HARS, USH3B, CMT2W	Histidyl-tRNA synthetase	HARS	3035	ENSG00000170445		Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive	Hars (MGI:108087)
chr5	140691425	140699317	5q31.3		600783	HARS2, HARSL, HARSR, HO3, PRLTS2	Histidyl-tRNA synthetase 2	HARS2	23438	ENSG00000112855	mutation identified in 1 PRLTS2 family	?Perrault syndrome 2, 614926 (3), Autosomal recessive	Hars2 (MGI:1918041)
chr5	140711275	140711372	5q31.3		612695	VTRNA1-1, HVG1, VAULTRC1	Vault RNA 1-1	VTRNA1-1	56664	ENSG00000199990			
chr5	140718925	140719012	5q31.3		612696	VTRNA1-2, HVG2, VAULTRC2	Vault RNA 1-2	VTRNA1-2	56663	ENSG00000202111			
chr5	140726158	140726245	5q31.3		612697	VTRNA1-3, HVG3, VAULTRC3	Vault RNA 1-3	VTRNA1-3	56662	ENSG00000202515			
chr5	140786135	141012343	5q31.3		606307	PCDHA1	Protocadherin-alpha 1	PCDHA1	56147	ENSG00000204970			Pcdha1 (MGI:2150982)
chr5	140794858	141012343	5q31.3		606308	PCDHA2	Protocadherin-alpha 2	PCDHA2	56146	ENSG00000204969			Pcdha2 (MGI:2681880)
chr5	140801197	141012343	5q31.3		606309	PCDHA3	Protocadherin-alpha 3	PCDHA3	56145	ENSG00000255408			Pcdha3 (MGI:2447313)
chr5	140807073	141012343	5q31.3		606310	PCDHA4	Protocadherin-alpha 4	PCDHA4	56144	ENSG00000204967			Pcdha4 (MGI:1298406)
chr5	140821775	141012343	5q31.3		606311	PCDHA5	Protocadherin-alpha 5	PCDHA5	56143	ENSG00000204965			Pcdha5 (MGI:1298371)
chr5	140827921	141012343	5q31.3		606312	PCDHA6	Protocadherin-alpha 6	PCDHA6	56142	ENSG00000081842			Pcdha6 (MGI:1298367)
chr5	140834383	141012343	5q31.3		606313	PCDHA7	Protocadherin-alpha 7	PCDHA7	56141	ENSG00000204963			Pcdha7 (MGI:1298369)
chr5	140841321	141012343	5q31.3		606314	PCDHA8	Protocadherin-alpha 8	PCDHA8	56140	ENSG00000204962			
chr5	140847771	141012343	5q31.3		606315	PCDHA9	Protocadherin-alpha 9	PCDHA9	9752	ENSG00000204961			Pcdha8 (MGI:2681879)
chr5	140855882	141012343	5q31.3		606316	PCDHA10	Protocadherin-alpha 10	PCDHA10	56139	ENSG00000250120			Pcdha9 (MGI:2447322)
chr5	140867512	141012343	5q31.3		606317	PCDHA11	Protocadherin-alpha 11	PCDHA11	56138	ENSG00000249158			Pcdha11 (MGI:1298372)
chr5	140875301	141012343	5q31.3		606318	PCDHA12	Protocadherin-alpha 12	PCDHA12	56137	ENSG00000251664			Pcdha10 (MGI:1298408)
chr5	140882268	141012343	5q31.3		606319	PCDHA13	Protocadherin-alpha 13	PCDHA13	56136	ENSG00000239389			Pcdha12 (MGI:1298370)
chr5	140926716	141012343	5q31.3		606320	PCDHAC1	Protocadherin-alpha, subfamily C, member 1	PCDHAC1	56135	ENSG00000248383			Pcdhac1 (MGI:1891442)
chr5	140966161	141012343	5q31.3		606321	PCDHAC2	Protocadherin-alpha, subfamily C, member 2	PCDHAC2	56134	ENSG00000243232			Pcdhac2 (MGI:1891443)
chr5	141051375	141053961	5q31.3		606327	PCDHB1	Protocadherin-beta 1	PCDHB1	29930	ENSG00000171815			Pcdhb1 (MGI:2136730)
chr5	141094606	141097379	5q31.3		606328	PCDHB2	Protocadherin-beta 2	PCDHB2	56133	ENSG00000112852			Pcdhb2 (MGI:2136735)
chr5	141100241	141103826	5q31.3		606329	PCDHB3	Protocadherin-beta 3	PCDHB3	56132	ENSG00000113205			Pcdhb3 (MGI:2136737)
chr5	141121749	141125622	5q31.3		606330	PCDHB4	Protocadherin-beta 4	PCDHB4	56131	ENSG00000081818			Pcdhb5 (MGI:2136739)
chr5	141135205	141138126	5q31.3		606331	PCDHB5	Protocadherin-beta 5	PCDHB5	26167	ENSG00000113209			Pcdhb10 (MGI:2136745)
chr5	141150021	141153286	5q31.3		606332	PCDHB6	Protocadherin-beta 6	PCDHB6	56130	ENSG00000113211			Pcdhb13 (MGI:2136748)
chr5	141172620	141176375	5q31.3		606333	PCDHB7	Protocadherin-beta 7	PCDHB7	56129	ENSG00000113212			Pcdhb15 (MGI:2136750)
chr5	141177789	141180499	5q31.3		606334	PCDHB8	Protocadherin-beta 8	PCDHB8	56128	ENSG00000120322			Pcdhb16 (MGI:2136752)
chr5	141181689	141186220	5q31.3		606345	PCDHB16	Protocadherin-beta 16	PCDHB16	57717	ENSG00000272674			Pcdhb17 (MGI:2136754)
chr5	141187126	141191537	5q31.3		606335	PCDHB9	Protocadherin-beta 9	PCDHB9	56127	ENSG00000177839			
chr5	141192378	141195639	5q31.3		606336	PCHB10	Protocadherin-beta 10	PCDHB10	56126	ENSG00000120324			
chr5	141199774	141203044	5q31.3		606337	PCDHB11	Protocadherin-beta 11	PCDHB11	56125	ENSG00000197479			Pcdhb21 (MGI:2136759)
chr5	141208718	141212125	5q31.3		606338	PCDHB12	Protocadherin-beta 12	PCDHB12	56124	ENSG00000120328			Pcdhb19 (MGI:2136757)
chr5	141213918	141217420	5q31.3		606339	PCDHB13	Protocadherin-beta 13	PCDHB13	56123	ENSG00000187372			
chr5	141222325	141226287	5q31.3		606340	PCDHB14	Protocadherin-beta 14	PCDHB14	56122	ENSG00000120327			Pcdhb20 (MGI:2136758)
chr5	141245348	141248233	5q31.3		606341	PCDHB15	Protocadherin-beta 15	PCDHB15	56121	ENSG00000113248			Pcdhb22 (MGI:2136760)
chr5	141302628	141304062	5q31.3		608157	SLC25A2, ORNT2	Solute carrier family 25 (mitochondrial carrier, ornithine transporter), member 2	SLC25A2	83884	ENSG00000120329			
chr5	141318489	141320783	5q31.3		600573	TAF7, TAF2F, TAFII55	TAF7 RNA polymerase II, TATA box-binding protein-associated factor, 55kD	TAF7	6879	ENSG00000178913			Taf7 (MGI:1346348)
chr5	141330684	141512978	5q31.3		606288	PCDHGA1	Protocadherin-gamma, subfamily A, member 1	PCDHGA1	56114	ENSG00000204956			Pcdhga1 (MGI:1935212)
chr5	141338759	141512978	5q31.3		606289	PCDHGA2	Protocadherin-gamma, subfamily A, member 2	PCDHGA2	56113	ENSG00000081853			Pcdhga2 (MGI:1935214)
chr5	141344033	141512978	5q31.3		606290	PCDHGA3	Protocadherin-gamma, subfamily A, member 3	PCDHGA3	56112	ENSG00000254245			Pcdhga3 (MGI:1935215)
chr5	141350260	141512978	5q31.3		606299	PCDHGB1	Protocadherin-gamma, subfamily B, member 1	PCDHGB1	56104	ENSG00000254221			Pcdhgb1 (MGI:1935169)
chr5	141355024	141512978	5q31.3		606291	PCDHGA4	Protocadherin-gamma, subfamily A, member 4	PCDHGA4	56111	ENSG00000262576			Pcdhga4 (MGI:1935216)
chr5	141360135	141512978	5q31.3		606300	PCDHGB2	Protocadherin-gamma, subfamily B, member 2	PCDHGB2	56103	ENSG00000253910			Pcdhgb2 (MGI:1935170)
chr5	141364330	141512978	5q31.3		606292	PCDHGA5	Protocadherin-gamma, subfamily A, member 5	PCDHGA5	56110	ENSG00000253485			Pcdhga5 (MGI:1935217)
chr5	141370263	141512978	5q31.3		606301	PCDHGB3	Protocadherin-gamma, subfamily B, member 3	PCDHGB3	56102	ENSG00000262209			Pcdhgb8 (MGI:1935200)
chr5	141374083	141512978	5q31.3		606293	PCDHGA6	Protocadherin-gamma, subfamily A, member 6	PCDHGA6	56109	ENSG00000253731			Pcdhga6 (MGI:1935218)
chr5	141382738	141512978	5q31.3		606294	PCDHGA7	Protocadherin-gamma, subfamily A, member 7	PCDHGA7	56108	ENSG00000253537			Pcdhga7 (MGI:1935219)
chr5	141387884	141512978	5q31.3		603058	PCDHGB4	Protocadherin-gamma, subfamily B, member 4	PCDHGB4	8641	ENSG00000253953			Pcdhgb4 (MGI:1935173)
chr5	141391915	141512978	5q31.3		606295	PCDHGA8	Protocadherin-gamma, subfamily A, member 8	PCDHGA8	9708	ENSG00000253767			Pcdhga8 (MGI:1935221)
chr5	141398127	141512978	5q31.3		606302	PCDHGB5	Protocadherin-gamma, subfamily B, member 5	PCDHGB5	56101	ENSG00000276547			Pcdhgb5 (MGI:1935196)
chr5	141402952	141512978	5q31.3		606296	PCDHGA9	Protocadherin-gamma, subfamily A, member 9	PCDHGA9	56107	ENSG00000261934			Pcdhga9 (MGI:1935226)
chr5	141408202	141512978	5q31.3		606303	PCDHGB6	Protocadherin-gamma, subfamily B, member 6	PCDHGB6	56100	ENSG00000253305			Pcdhgb6 (MGI:1935197)
chr5	141413175	141512978	5q31.3		606297	PCDHGA10	Protocadherin-gamma, subfamily A, member 10	PCDHGA10	56106	ENSG00000253846			Pcdhga10 (MGI:1935227)
chr5	141417646	141512980	5q31.3		606304	PCDHGB7	Protocadherin-gamma, subfamily B, member 7	PCDHGB7	56099	ENSG00000254122			Pcdhgb7 (MGI:1935199)
chr5	141420969	141512978	5q31.3		606298	PCDHGA11	Protocadherin-gamma, subfamily A, member 11	PCDHGA11	56105	ENSG00000253873			Pcdhga11 (MGI:1935228)
chr5	141430590	141512978	5q31.3		603059	PCDHGA12	Protocadherin-gamma, subfamily A, member 12	PCDHGA12	26025	ENSG00000253159			Pcdhga12 (MGI:1935229)
chr5	141476001	141512976	5q31.3		603627	PCDHGC3	Protocadherin-gamma, subfamily C, member 3	PCDHGC3	5098	ENSG00000240184			Pcdhgc3 (MGI:1935201)
chr5	141485173	141512978	5q31.3		606305	PCDHGC4	Protocadherin-gamma, subfamily C, member 4	PCDHGC4	56098	ENSG00000242419			Pcdhgc4 (MGI:1935203)
chr5	141489240	141512978	5q31.3		606306	PCDHGC5	Protocadherin-gamma, subfamily C, member 5	PCDHGC5	56097	ENSG00000240764			Pcdhgc5 (MGI:1935205)
chr5	141515020	141619054	5q31.3		602121	DIAPH1, DFNA1, LFHL1, SCBMS	Diaphanous, Drosophila, homolog of, 1	DIAPH1	1729	ENSG00000131504		Deafness, autosomal dominant 1, 124900 (3), Autosomal dominant; Seizures, cortical blindness, microcephaly syndrome, 616632 (3), Autosomal recessive	Diaph1 (MGI:1194490)
chr5	141620875	141636859	5q31.3		605166	HDAC3	Histone deacetylase 3	HDAC3	8841	ENSG00000171720			Hdac3 (MGI:1343091)
chr5	141636945	141641076	5q31.3		611213	RELL2	Relt-like 2	RELL2	285613	ENSG00000164620			Rell2 (MGI:1918044)
chr5	141653400	141682232	5q31.3		606647	CENTD3, ARAP3	Centaurin, delta-3	ARAP3	64411	ENSG00000120318			Arap3 (MGI:2147274)
chr5	141852318	141878409	5q31.3		603626	PCDH1, PC42	Protocadherin 1 (cadherin-like 1)	PCDH1	5097	ENSG00000156453			Pcdh1 (MGI:104692)
chr5	141923784	141942046	5q31.3		615741	KIAA0141, DELE	KIAA0141 gene	KIAA0141	9812	ENSG00000081791			0610009O20Rik (MGI:1914089)
chr5	141943584	141959061	5q31.3		605622	PCDH12, VECAD2	Protocadherin 12 (cadherin, vascular endothelial, 2)	PCDH12	51294	ENSG00000113555			Pcdh12 (MGI:1855700)
chr5	141949336	141993708	5q31.3		605675	RNF14, ARA54	RING finger protein-14	RNF14	9604	ENSG00000013561			Rnf14 (MGI:1929668)
chr5	142000668	142013054	5q31.3		601798	GNPDA1, GNP1, GNPI, KIAA0060	Glucosamine 6-phosphate deaminase 1	GNPDA1	10007	ENSG00000113552			Gnpda1 (MGI:1347054)
chr5	142108758	142154442	5q31.3		612050	NDFIP1, N4WBP5	NEDD4 family-interacting protein 1	NDFIP1	80762	ENSG00000131507			Ndfip1 (MGI:1929601)
chr5	142310426	142325054	5q31.3		607984	SPRY4, HH17	Sprouty, Drosophila, homolog of	SPRY4	81848	ENSG00000187678		Hypogonadotropic hypogonadism 17 with or without anosmia, 615266 (3), Autosomal dominant	Spry4 (MGI:1345144)
chr5	142592177	142698069	5q31.3		131220	FGF1, FGFA	Fibroblast growth factor-1 (acidic)	FGF1	2246	ENSG00000113578			Fgf1 (MGI:95515)
chr5	142770369	143229006	5q31.3		605370	ARHGAP26, GRAF	RHO GTPase-activating protein 26	ARHGAP26	23092	ENSG00000145819		Leukemia, juvenile myelomonocytic, somatic, 607785 (3)	Arhgap26 (MGI:1918552)
chr5	143277930	143435511	5q31.3		138040	NR3C1, GCR, GRL, GCRST	Nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	NR3C1	2908	ENSG00000113580		Glucocorticoid resistance, 615962 (3), Autosomal dominant	Nr3c1 (MGI:95824)
chr5	143812160	143820718	5q31.3		609961	HLA-HB1	Minor histocompatibility antigen HB-1	HMHB1	57824	ENSG00000158497			
chr5	144158158	144170713	5q31.3		611483	YIPF5, SMAP5, YIP1A	Yip1 domain family, member 5	YIPF5	81555	ENSG00000145817			Yipf5 (MGI:1914430)
chr5	144170722	144485685	5q31.3		613423	KCTD16, KIAA1317	Potassium channel tetramerization domain-containing 16	KCTD16	57528	ENSG00000183775			Kctd16 (MGI:1914659)
chr5	145858537	145931672	5q32		615762	GRXCR2, DFNB101	Glutaredoxin, cysteine-rich, 2	GRXCR2	643226	ENSG00000204928	mutation identified in 1 DFNB101 family	?Deafness, autosomal recessive 101, 615837 (3), Autosomal recessive	Grxcr2 (MGI:2685697)
chr5	145936562	146081772	5q32		613377	SH3RF2, HEPP1	SH3 domain-containing RING finger protein 2	SH3RF2	153769	ENSG00000156463			Sh3rf2 (MGI:2444628)
chr5	146113025	146182786	5q32		151350	LARS, LFIS, ILFS1	Leucyl-tRNA synthetase	LARS	51520	ENSG00000133706	mutation identified in 1 family	?Infantile liver failure syndrome 1, 615438 (3), Autosomal recessive	Lars (MGI:1913808)
chr5	146339023	146340519	5q32		602460	POU4F3, BRN3C	POU domain, class 4, transcription factor-3	POU4F3	5459	ENSG00000091010		Deafness, autosomal dominant 15, 602459 (3), Autosomal dominant	Pou4f3 (MGI:102523)
chr5	146447123	146511507	5q32		605409	TCERG1, TAF2S, CA150	Transcription elongation regulator 1 (transcription factor CA150)	TCERG1	10915	ENSG00000113649			Tcerg1 (MGI:1926421)
chr5	146589503	147081519	5q32		604325	PPP2R2B	Protein phosphatase 2, regulatory subunit B, beta	PPP2R2B	5521	ENSG00000156475		Spinocerebellar ataxia 12, 604326 (3), Autosomal dominant	Ppp2r2b (MGI:1920180)
chr5	147390807	147510055	5q32		601168	DPYSL3, ULIP, DRP3	Dihydropyrimidinase-like 3	DPYSL3	1809	ENSG00000113657			Dpysl3 (MGI:1349762)
chr5	147585438	147782847	5q32		611197	JAKMIP2, JAMIP2, NECC1, KIAA0555	Janus kinase and microtubule-interacting protein 2	JAKMIP2	9832	ENSG00000176049			Jakmip2 (MGI:1923467)
chr5	147824579	147839230	5q32		167790	SPINK1, PSTI, PCTT, TATI, TCP	Serine protease inhibitor, Kazal type I (pancreatic secretory trypsin inhibitor)	SPINK1	6690	ENSG00000164266		{Fibrocalculous pancreatic diabetes, susceptibility to}, 608189 (3), Autosomal recessive, Autosomal dominant; Pancreatitis, hereditary, 167800 (3), Autosomal dominant; Tropical calcific pancreatitis, 608189 (3), Autosomal recessive, Autosomal dominant	Spink1 (MGI:106202)
chr5	147878710	147882192	5q32		606531	SCGB3A2, UGRP1	Secretoglobin, family 3A, member 2 (uteroglobin-related protein 1)	SCGB3A2	117156	ENSG00000164265		{Asthma, susceptibility to}, 600807 (3), Autosomal dominant	Scgb3a2 (MGI:2153470)
chr5	148063971	148137361	5q32		605010	SPINK5, LEKTI	Serine protease inhibitor, Kazal type, 5	SPINK5	11005	ENSG00000133710		Atopy, 147050 (3), Autosomal dominant; Netherton syndrome, 256500 (3), Autosomal recessive	Spink5 (MGI:1919682)
chr5	148202793	148215136	5q32		615868	SPINK6	Serine peptidase inhibitor, KAZAL-type, 6	SPINK6	404203	ENSG00000178172			
chr5	148268859	148286209	5q32		615205	SPINK13	Serine protease inhibitor, Kazal-type, 13	SPINK13	153218	ENSG00000214510			Spink13 (MGI:3642511)
chr5	148323218	148341973	5q32		613511	SPINK9, LEKTI2	Serine protease inhibitor, Kazal-type, 9	SPINK9	643394	ENSG00000204909			
chr5	148383934	148442835	5q32		608533	FBXO38, FBX38, MOKA, HMN2D	F-box only protein 38	FBXO38	81545	ENSG00000145868		Neuronopathy, distal hereditary motor, type IID, 615575 (3), Autosomal dominant	
chr5	148451031	148654526	5q32		602164	HTR4	5-hydroxytryptamine (serotonin) receptor-4	HTR4	3360	ENSG00000164270			Htr4 (MGI:109246)
chr5	148826592	148828633	5q32		109690	ADRB2	Adrenergic, beta-2-, receptor, surface	ADRB2	154	ENSG00000169252		{Asthma, nocturnal, susceptibility to}, 600807 (3), Autosomal dominant; Beta-2-adrenoreceptor agonist, reduced response to (3); {Obesity, susceptibility to}, 601665 (3), Autosomal recessive, Autosomal dominant, Multifactorial	Adrb2 (MGI:87938)
chr5	148982149	149063173	5q32		608206	SH3TC2, KIAA1985, MNMN	SH3 domain and tetratricopeptide repeat domain 2	SH3TC2	79628	ENSG00000169247		Charcot-Marie-Tooth disease, type 4C, 601596 (3), Autosomal recessive; Mononeuropathy of the median nerve, mild, 613353 (3), Autosomal dominant	Sh3tc2 (MGI:2444417)
chr5	149141482	149260438	5q32		611305	ABLIM3, KIAA0843	Actin-binding LIM protein family, member 3	ABLIM3	22885	ENSG00000173210			Ablim3 (MGI:2442582)
chr5	149271837	149343636	5q32		614410	AFAP1L1	Actin filament-associated protein 1-like 1	AFAP1L1	134265	ENSG00000157510			Afap1l1 (MGI:2147199)
chr5	149374266	149404201	5q32		604627	IL17B	Interleukin 17B	IL17B	27190	ENSG00000127743			Il17b (MGI:1928397)
chr5	149428917	149429022	5q32		612117	MIR143, MIRN143	Micro RNA 143	MIR143	406935	ENSG00000249669			
chr5	149430645	149430732	5q32		611795	MIR145, MIRN145	Micro RNA 145	MIR145	406937	ENSG00000276365			
chr5	149495893	149551551	5q32		600505	CSNK1A1	Casein kinase-1, alpha-1 polypeptide	CSNK1A1	1452	ENSG00000113712	previously assigned to 13q13		Csnk1a1 (MGI:1934950)
chr5	149730251	149857860	5q32		608886	PPARGC1B, PGC1B, PERC	Peroxisome proliferator-activated receptor-gamma, coactivator 1, beta	PPARGC1B	133522	ENSG00000155846		{Obesity, variation in}, 601665 (3), Autosomal recessive, Autosomal dominant, Multifactorial	Ppargc1b (MGI:2444934)
chr5	149732824	149732889	5q32		611957	MIR378, MIRN378	Micro RNA 378	MIR378A	494327	ENSG00000199047			
chr5	149857955	149944792	5q32		180071	PDE6A, PDEA, RP43	Phosphodiesterase-6A, cGMP-specific, rod, alpha	PDE6A	5145	ENSG00000132915		Retinitis pigmentosa 43, 613810 (3)	Pde6a (MGI:97524)
chr5	149960728	149987399	5q32		606718	SLC26A2, DTD, DTDST, D5S1708, EDM4	Solute carrier family 26 (sulfate transporter), member 2 (diastrophic dysplasia sulfate transporter)	SLC26A2	1836	ENSG00000155850	distal to APC	Achondrogenesis Ib, 600972 (3), Autosomal recessive; Atelosteogenesis II, 256050 (3), Autosomal recessive; De la Chapelle dysplasia, 256050 (3), Autosomal recessive; Diastrophic dysplasia, 222600 (3), Autosomal recessive; Diastrophic dysplasia, broad bone-platyspondylic variant, 222600 (3), Autosomal recessive; Epiphyseal dysplasia, multiple, 4, 226900 (3), Autosomal recessive	Slc26a2 (MGI:892977)
chr5	150021526	150022052	5q32		180464	RPS20B	Ribosomal protein S20B	RPS20P4	6226		?pseudogene		
chr5	150053290	150113371	5q32		164770	CSF1R, FMS, HDLS	Colony-stimulating factor-1 receptor; oncogene FMS (McDonough feline sarcoma)	CSF1R	1436	ENSG00000182578	FMS2 is 5' end	Leukoencephalopathy, diffuse hereditary, with spheroids, 221820 (3), Autosomal dominant	Csf1r (MGI:1339758)
chr5	150113838	150155883	5q32		173410	PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS	Platelet-derived growth factor receptor, beta polypeptide	PDGFRB	5159	ENSG00000113721	fusion gene with ETV6, HIP1, RABPT5, or H4 in chronic myeloproliferative disorders	Basal ganglia calcification, idiopathic, 4, 615007 (3), Autosomal dominant; Kosaki overgrowth syndrome, 616592 (3), Autosomal dominant; Myeloproliferative disorder with eosinophilia, 131440 (4), Autosomal dominant; Myofibromatosis, infantile, 1, 228550 (3), Autosomal dominant; Premature aging syndrome, Penttinen type, 601812 (3), Autosomal dominant	Pdgfrb (MGI:97531)
chr5	150166780	150184557	5q32		600746	CDX1	Caudal type homeo box transcription factor 1	CDX1	1044	ENSG00000113722	100kb distal to CSF1R		Cdx1 (MGI:88360)
chr5	150189860	150211071	5q32		606205	SLC6A7, PROT	Solute carrier family 6 (neurotransmitter transporter, L-proline), member 7	SLC6A7	6534	ENSG00000011083			Slc6a7 (MGI:2147363)
chr5	150219490	150289839	5q32		114078	CAMK2A, KIAA0968, CAMKA	Calcium/calmodulin-dependent protein kinase II-alpha	CAMK2A	815	ENSG00000070808			Camk2a (MGI:88256)
chr5	150296345	150302961	5q32		610009	ARSI	Arylsulfatase I	ARSI	340075	ENSG00000183876			Arsi (MGI:2670959)
chr5	150357638	150400307	5q32-q33		606847	TCOF1, MFD1, TCS1	Treacle	TCOF1	6949	ENSG00000070814	prox. to SPARC	Treacher Collins syndrome 1, 154500 (3), Autosomal dominant	Tcof1 (MGI:892003)
chr5	150400000	177100000		5q33.1-q35.2	613269	FECD5, FCD3	Corneal dystrophy, Fuchs endothelial, 5		100380874		flanked by D5S470 and D5S2108	Corneal dystrophy, Fuchs endothelial, 5, 613269 (2)	
chr5	150401636	150412935	5q33.1		142790	CD74, DHLAG	CD74 antigen (invariant polypeptide of major histocompatibility class II antigen-associated)	CD74	972	ENSG00000019582			Cd74 (MGI:96534)
chr5	150444228	150449809	5q33.1		130620	RPS14, EMTB	Ribosomal protein S14	RPS14	6208	ENSG00000164587		Macrocytic anemia, refractory, due to 5q deletion, somatic, 153550 (3)	Rps14 (MGI:98107)
chr5	150485782	150558210	5q33.1		600853	NDST1, HSST, MRT46	N-deacetylase/N-sulfotransferase (heparan sulfate-N-deacetylase/N-sulfotransferase)	NDST1	3340	ENSG00000070614		Mental retardation, autosomal recessive 46, 616116 (3), Autosomal recessive	Ndst1 (MGI:104719)
chr5	150586025	150659229	5q33.1		608155	SYNPO	Synptopodin	SYNPO	11346	ENSG00000171992			Synpo (MGI:1099446)
chr5	150660840	150679367	5q33.1		610735	MYOZ3, FRP3	Myozenin 3	MYOZ3	91977	ENSG00000164591			Myoz3 (MGI:2179296)
chr5	150690789	150701106	5q33.1		612430	RBM22	RNA-binding motif protein 22	RBM22	55696	ENSG00000086589			Rbm22 (MGI:1914060)
chr5	150708746	150759094	5q33.1		614758	DCTN4, P62, DYN4	Dynactin 4	DCTN4	51164	ENSG00000132912			Dctn4 (MGI:1914915)
chr5	150777945	150796735	5q33.1		608324	SMIM3, NID67	Small integral membrane protein 3	SMIM3	85027	ENSG00000256235			Smim3 (MGI:1917088)
chr5	150846522	150902401	5q33.1		608212	IRGM, LRG47, IFI1, IBD19	Immunity-related GTPase family, M	IRGM	345611	ENSG00000237693		{Inflammatory bowel disease (Crohn disease) 19}, 612278 (3); {Mycobacterium tuberculosis, protection against}, 607948 (3)	Irgm2 (MGI:1926262)
chr5	150892957	150904982	5q33.1		612429	ZNF300	Zinc finger protein 300	ZNF300	91975	ENSG00000145908			
chr5	151020437	151028992	5q33.1		138321	GPX3	Glutathione peroxidase-3, plasma	GPX3	2878	ENSG00000211445			Gpx3 (MGI:105102)
chr5	151029942	151087659	5q33.1		607714	TNIP1, NAF1, KIAA0113	TNFAIP3-interacting protein 1	TNIP1	10318	ENSG00000145901			Tnip1 (MGI:1926194)
chr5	151100705	151157881	5q33.1		114070	ANXA6, CBP68	Annexin A6 (calcium-binding protein p68)	ANXA6	309	ENSG00000197043			Anxa6 (MGI:88255)
chr5	151253051	151270393	5q33.1		613109	GM2A	GM2 ganglioside activator protein	GM2A	2760	ENSG00000196743	pseudogene on chr.3	GM2-gangliosidosis, AB variant, 272750 (3), Autosomal recessive	Gm2a (MGI:95762)
chr5	151314977	151347589	5q33.1		608331	SLC36A2, PAT2	Solute carrier family 36 (proton/amino acid symporter), member 2	SLC36A2	153201	ENSG00000186335		Hyperglycinuria, 138500 (3), Autosomal dominant; Iminoglycinuria, digenic, 242600 (3), Autosomal recessive	Slc36a2 (MGI:1891430)
chr5	151411343	151556317	5q33.1		606561	SLC36A1, LYAAT1, PAT1	Solute carrier family 36 (proton/amino acid symporter), member 1 (lysosomal amino acid transporter 1)	SLC36A1	206358	ENSG00000123643			Slc36a1 (MGI:2445299)
chr5	151504091	151594821	5q33.1		604269	FAT2, MEGF1	Fat tumor suppressor, Drosophila, homolog of, 2	FAT2	2196	ENSG00000086570			Fat2 (MGI:2685369)
chr5	151661095	151687053	5q33.1		182120	SPARC, ON, OI17	Osteonectin (secreted protein, acidic, cysteine-rich)	SPARC	6678	ENSG00000113140		Osteogenesis imperfecta, type XVII, 616507 (3), Autosomal recessive	Sparc (MGI:98373)
chr5	151742821	151758648	5q33.1		602270	ATOX1, HAH1	Antioxidant protein 1 (ATX, yeast, homolog of)	ATOX1	475	ENSG00000177556			Atox1 (MGI:1333855)
chr5	151771914	151811351	5q33.1		608431	G3BP1, G3BP	GTPase-activating protein SH3 domain-binding protein 1	G3BP1	10146	ENSG00000145907			G3bp1 (MGI:1351465)
chr5	151820797	151924835	5q33.1		138491	GLRA1, STHE, HKPX1	Glycine receptor, alpha-1 polypeptide	GLRA1	2741	ENSG00000145888		Hyperekplexia, hereditary 1, autosomal dominant or recessive, 149400 (3), Autosomal recessive, Autosomal dominant	Glra1 (MGI:95747)
chr5	152391540	152405278	5q33.1		605108	NMUR2, NMU2R, FM4	Neuromedin U receptor 2	NMUR2	56923	ENSG00000132911			Nmur2 (MGI:2441765)
chr5	153489614	153813872	5q33.2		138248	GRIA1, GLUR1	Glutamate receptor, ionotropic, AMPA 1	GRIA1	2890	ENSG00000155511			Gria1 (MGI:95808)
